"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100507246",0.00434999999999999,0.34065
"100507249",-0.1404,0.022
"100507250",0.0719,0.0035
"100507254",-0.1777,0.05085
"100507257",0.2565,0.5068
"100507261",0.0206,0.0438
"100507266",0.1241,0.0103
"100507267",-0.1026,-0.0115
"100507274",0.00856666666666667,0.0438666666666667
"100507277",0.1224,0.1147
"100507290",-0.1893,0.00105
"100507297",0.3532,0.1888
"100507299",-0.1033,-0.1635
"100507300",-0.1446,-0.1078
"100507303",-0.1322,-0.3642
"100507316",0.28475,0.3928
"100507331",-0.0833,-0.0546
"100507351",-0.3138,-0.0953
"100507362",-0.0811,-0.0032
"100507377",0.0444,0.0176
"100507384",-0.0867,0.0653
"100507388",-0.0082,-0.0487
"100507389",-0.0458,-0.0203
"100507391",-0.2871,-0.1369
"100507392",0.0693,0.0488
"100507398",0.0179,-0.02305
"100507410",-0.0515,0.1396
"100507412",-0.3737,-0.03285
"100507419",0.0778,0.15955
"100507421",-1.3385,-0.51865
"100507423",0.0628,-0.0029
"100507428",-0.1448,-0.07095
"100507431",0.1581,0.1914
"100507433",-0.4238,-0.3979
"100507435",-0.1894,-0.0559
"100507436",1.2789,1.1811
"100507443",-0.0476,0.0892
"100507459",0.9036,0.9034
"100507461",-0.0469,-0.1283
"100507462",0.0781,-0.1073
"100507466",1.2785,0.4366
"100507468",0.3349,0.3448
"100507470",0.1193,0.0616
"100507475",0.7549,0.3502
"100507487",0.2369,0.156
"100507495",0.1979,0.0838
"100507501",0.2493,0.1901
"100507506",0.0171,0.0411
"100507524",0.0576,-0.3773
"100507527",0.1593,-0.0176
"100507530",0.0793,-0.0633
"100507533",-0.704,-1.723
"100507534",-0.1337,-0.0664
"100507537",0.17,0.0535
"100507540",-0.0319,-0.0052
"100507557",1.166,1.1603
"100507567",-0.1959,-0.17325
"100507584",0.043375,0.030775
"100507599",0.22,0.0874
"100507600",0.1116,0.0238
"100507602",-0.37975,-0.19105
"100507605",-0.0764,-0.0515
